Product Name,Price (Rs),Ram (GB)
"Samsung Galaxy S20 (Cloud Pink, 128 GB)","70,499",8
"Samsung Galaxy S20 (Cosmic Gray, 128 GB)","70,499",8
"Samsung Galaxy S10 Plus (Prism Blue, 128 GB)","71,550",8
"Samsung Galaxy Note 10 (Aura Red, 256 GB)","73,600",8
"Samsung Galaxy Note 10 (Aura Black, 256 GB)","73,600",8
"Samsung Galaxy S10 Plus (Ceramic Black, 512 GB)","73,800",8
"Samsung Galaxy S20+ (Cloud Blue, 128 GB)","77,999",8
"Samsung Galaxy S20+ (Cosmic Black, 128 GB)","77,999",8
"Samsung Galaxy S10 Plus (Prism Black, 128 GB)","78,000",8
"Samsung Galaxy Note 9 (Midnight Black, 512 GB)","84,900",8
"Samsung Galaxy Note 9 (Metallic Copper, 512 GB)","89,499",8
"Moto X4 (Super Black, 64 GB)","10,990",6
"Infinix Hot 7 Pro (Mocha Brown, 64 GB)","10,999",6
"Realme 1 (Diamond Black, 128 GB)","10,999",6
"XOLO ZX (Midnight Blue, 128 GB)","11,199",6
"Asus Zenfone Max Pro M1 (Black, 64 GB)","11,499",6
"Asus Zenfone Max Pro M1 (Grey, 64 GB)","11,499",6
"Asus Zenfone Max Pro M1 (Blue, 64 GB)","11,499",6
"Moto G6 Plus (Indigo Black, 64 GB)","11,510",6
"Redmi Note 6 Pro (Red, 64 GB)","11,999",6
"Redmi Note 6 Pro (Black, 64 GB)","11,999",6
"Redmi Note 6 Pro (Rose Gold, 64 GB)","11,999",6
"Lenovo K10 Note (Black, 128 GB)","11,999",6
"Redmi Note 6 Pro (Blue, 64 GB)","11,999",6
"Honor 10 Lite (Sky Blue, 64 GB)","12,199",6
"Realme 1 (Red, Solar Red, 128 GB)","12,489",6
"Panasonic Eluga X1 Pro (Silver, 128 GB)","12,490",6
"Honor 8X (Blue, 64 GB)","12,699",6
"Honor 8X (Black, 64 GB)","12,699",6
"Nokia 6.1 Plus (Blue, 64 GB)","12,899",6
"Redmi Note 7 Pro (Space Black, 64 GB)","12,999",6
"Redmi Note 7 Pro (Nebula Red, 64 GB)","12,999",6
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","12,999",6
"Tecno Phantom 9 (Lapland Aurora, 128 GB)","12,999",6
"Nokia 5.1 Plus (Black, Blue, 64 GB)","13,599",6
"Honor 8X (Blue, 128 GB)","13,699",6
"Honor Play (Midnight Black, 64 GB)","13,699",6
"Honor Play (Navy Blue, 64 GB)","13,699",6
"Realme 2 Pro (Black Sea, 64 GB)","13,990",6
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","13,999",6
"Redmi Note 7 Pro (Space Black, 128 GB)","13,999",6
"Redmi Note 7 Pro (Nebula Red, 128 GB)","13,999",6
"Redmi Note 5 Pro (Blue, 64 GB)","13,999",6
"Redmi Note 5 Pro (Rose Gold, 64 GB)","13,999",6
"Asus ZenFone Max Pro M2 (Blue, 64 GB)","13,999",6
"Asus ZenFone Max Pro M2 (Titanium, 64 GB)","13,999",6
"Vivo Z1Pro (Sonic Black, 64 GB)","14,990",6
"Vivo Z1Pro (Sonic Blue, 64 GB)","14,990",6
"OPPO A31 (Fantasy White, 128 GB)","14,990",6
"Realme 5 Pro (Sparkling Blue, 64 GB)","14,999",6
"Realme 5 Pro (Crystal Green, 64 GB)","14,999",6
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","14,999",6
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","14,999",6
"Redmi Note 8 (Space Black, 128 GB)","14,999",6
"Mi A3 (More Than White, 128 GB)","14,999",6
"Moto Z2 Force (Super Black, 64 GB)","14,999",6
"Vivo V11 Pro (Supernova Red, 64 GB)","15,799",6
"Redmi Note 8 (Cosmic Purple, 128 GB)","15,890",6
"Samsung Galaxy M30 (Gradation Blue, 128 GB)","15,890",6
"Realme 6 (Comet Blue, 128 GB)","15,999",6
"Redmi Note 8 Pro (Shadow Black, 64 GB)","15,999",6
"Redmi Note 8 Pro (Halo White, 64 GB)","15,999",6
"Tecno Camon 15 Pro (Ice Jadite, 128 GB)","15,999",6
"Realme 3 Pro (Nitro Blue, 64 GB)","15,999",6
"Realme 3 Pro (Carbon Grey, 64 GB)","15,999",6
"OPPO F5 (Black, 64 GB)","15,999",6
"Nokia 8.1 (Iron, 128 GB)","15,999",6
"Samsung Galaxy M31 (Ocean Blue, 64 GB)","16,499",6
"Mi A2 (Red, 128 GB)","16,899",6
"Mi A2 (Gold, 128 GB)","16,899",6
"Vivo Z1Pro (Sonic Black, 128 GB)","16,990",6
"Vivo Z1Pro (Sonic Blue, 128 GB)","16,990",6
"Redmi Note 8 Pro (Electric Blue, 64 GB)","16,990",6
"OPPO F11 Pro (Thunder Black, 64 GB)","16,990",6
"Vivo Z1x (Fusion Blue, 64 GB)","16,990",6
"Redmi Note 8 Pro (Electric Blue, 128 GB)","16,999",6
"POCO X2 (Atlantis Blue, 64 GB)","16,999",6
"Redmi Note 8 Pro (Halo White, 128 GB)","16,999",6
"POCO X2 (Matrix Purple, 64 GB)","16,999",6
"Realme 3 Pro (Lightning Purple, 128 GB)","16,999",6
"Asus ZenFone 5Z (Midnight Blue, 64 GB)","16,999",6
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","16,999",6
"Redmi Note 8 Pro (Shadow Black, 128 GB)","16,999",6
"Samsung Galaxy M30s (Opal Black, 128 GB)","16,999",6
"Vivo V9 Pro (Black, 64 GB)","17,000",6
"Redmi Note 8 Pro (Gamma Green, 128 GB)","17,249",6
"OPPO F11 Pro (Thunder Black, 128 GB)","17,990",6
"Vivo Z1x (Phantom Purple, 128 GB)","17,990",6
"OPPO F11 Pro (Aurora Green, 128 GB)","17,990",6
"OPPO F11 (Fluorite Purple, 128 GB)","17,990",6
"OPPO F11 (Marble Green, 128 GB)","17,990",6
"Vivo S1 (Diamond Black, 64 GB)","17,990",6
"Realme 6 Pro (Lightning Blue, 64 GB)","17,999",6
"Realme XT (Pearl Blue, 64 GB)","17,999",6
"Realme XT (Pearl White, 64 GB)","17,999",6
"Realme 6 Pro (Lightning Orange, 64 GB)","17,999",6
"Infinix Zero 5 (Champagne Gold, 64 GB)","17,999",6
"Infinix Zero 5 (Bordeaux Red, 64 GB)","17,999",6
"Infinix Zero 5 (Sandstone Black, 64 GB)","17,999",6
"Nokia 7.2 (Cyan Green, 64 GB)","18,099",6
"Nokia 7.2 (Charcoal, 64 GB)","18,099",6
"POCO X2 (Matrix Purple, 128 GB)","18,499",6
"POCO X2 Special Edition (Matrix Purple, 128 GB)","18,499",6
"OPPO K3 (Jade Black, 64 GB)","18,905",6
"Vivo S1 (Skyline Blue, 64 GB)","18,990",6
"OPPO F9 Pro (Twilight Blue, 64 GB)","18,990",6
"Realme 6 Pro (Lightning Blue, 128 GB)","18,999",6
"Samsung Galaxy A50 (Blue, 64 GB)","18,999",6
"Asus ZenFone 5Z (Meteor Silver, 128 GB)","18,999",6
"POCO F1 (Armoured Edition, 128 GB)","18,999",6
"Realme 6 Pro (Lightning Orange, 128 GB)","18,999",6
"Asus ZenFone 5Z (Midnight Blue, 128 GB)","18,999",6
"Vivo S1 (Diamond Black, 128 GB)","19,990",6
"Realme X2 (Pearl Green, 128 GB)","19,999",6
"Realme X2 (Pearl Blue, 128 GB)","19,999",6
"Realme X2 (Pearl White, 128 GB)","19,999",6
"POCO F1 (Rosso Red, 64 GB)","19,999",6
"Infinix Zero 5 Pro (Bronze Gold Black, 128 GB)","19,999",6
"POCO F1 (Graphite Black, 64 GB)","19,999",6
"Samsung Galaxy A8 Plus (Gold, 64 GB)","20,290",6
"Vivo V15 Pro (Ruby Red, 128 GB)","21,099",6
"Honor 10 (Phantom Blue, 128 GB)","21,099",6
"Samsung Galaxy M40 (Seawater Blue, 128 GB)","21,490",6
"OPPO F9 Pro (Starry purple, 128 GB)","21,990",6
"Honor 20 (Midnight Black, 128 GB)","21,999",6
"Redmi K20 (Pearl White, 64 GB)","21,999",6
"Redmi K20 (Glacier Blue, 64 GB)","21,999",6
"Nokia 8.1 (Blue, 128 GB)","22,490",6
"Vivo V11 Pro (Dazzling Gold, 64 GB)","23,990",6
"OPPO F9 Pro (Sunrise Red, 64 GB)","23,990",6
"Samsung Galaxy A70 (White, 128 GB)","24,299",6
"Samsung Galaxy A7 (Blue, 128 GB)","24,600",6
"Vivo V11 (Starry Night Black, 64 GB)","24,990",6
"Vivo V11 (Nebula Purple, 64 GB)","24,990",6
"OPPO F5 (Red, 64 GB)","24,990",6
"OPPO F11 Pro (Aurora Green, 64 GB)","24,990",6
"Redmi K20 (Flame Red, 128 GB)","24,999",6
"Redmi K20 (Pearl White, 128 GB)","24,999",6
"Moto X4 (Sterling Blue, 64 GB)","24,999",6
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","25,250",6
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","25,250",6
"Samsung Galaxy A70s (Prism Crush Black, 128 GB)","25,900",6
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)","25,900",6
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","26,763",6
"Samsung Galaxy A50s (Prism Crush White, 128 GB)","26,950",6
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)","26,952",6
"Redmi K20 Pro (Flame Red, 128 GB)","26,999",6
"Redmi K20 Pro (Carbon Black, 128 GB)","26,999",6
"Samsung Galaxy A9 (Bubblegum Pink, 128 GB)","27,399",6
"Samsung Galaxy A9 (Caviar Black, 128 GB)","27,900",6
"Asus 6Z (Matte Black, 64 GB)","27,999",6
"Asus 6Z (Black, 64 GB)","27,999",6
"OPPO F11 Pro Marvel’s Avengers Limited Edition (Space Blue, 128 GB)","28,990",6
"Samsung Galaxy A70 (Black, 128 GB)","28,990",6
"Realme X2 Pro (Lunar White, 64 GB)","29,999",6
"Mi Mix 2 (Black, 128 GB)","29,999",6
"Honor 8 Pro (Midnight Black, 128 GB)","29,999",6
"Honor 8 Pro (Navy Blue, 128 GB)","29,999",6
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)","30,999",6
"Asus 6Z (Matte Black, 128 GB)","30,999",6
"OnePlus 6T (Mirror Black, 128 GB)","30,999",6
"Samsung Galaxy S9 Plus (Lilac Purple, 64 GB)","30,999",6
"Asus 6Z (Silver, 128 GB)","30,999",6
"Samsung Galaxy C9 Pro (Gold, 64 GB)","31,900",6
"Samsung Galaxy C9 Pro (Black, 64 GB)","31,900",6
"Blackberry Key 2 (Black, 64 GB)","31,990",6
"Nokia 9 (Blue, 128 GB)","36,899",6
"Vivo X21 (Black, 128 GB)","36,990",6
"Honor View 10 (Midnight Black, 128 GB)","37,000",6
"Samsung Galaxy Note10 Lite (Aura Black, 128 GB)","41,999",6
"OnePlus 7 Pro (Mirror Grey, 128 GB)","42,990",6
"OnePlus 7 Pro (Mirror Grey, 128 GB)","42,999",6
"Samsung Galaxy S10e (Prism Black, 128 GB)","47,300",6
"Samsung Galaxy S10e (Prism White, 128 GB)","49,900",6
"Asus Zenfone 3 Deluxe (Silver, 64 GB)","50,999",6
"HTC U11 (Solar Red, 128 GB)","53,990",6
"HTC U11 (Amazing Silver, 128 GB)","53,990",6
"HTC U11 (Brilliant Black, 128 GB)","53,990",6
"LG G8X (Aurora Black, 128 GB)","54,990",6
"Nokia 8 Sirocco (Black, 128 GB)","54,999",6
"Samsung Galaxy Note 8 (Midnight Black, 64 GB)","59,900",6
"Asus Zenfone 3 Deluxe (Silver, 256 GB)","63,999",6
"Asus Zenfone 3 Deluxe (Gold, 256 GB)","63,999",6
"Samsung Galaxy S8 Plus (Midnight Black, 128 GB)","65,990",6
"Samsung Galaxy Note 9 (Ocean Blue, 128 GB)","67,799",6
"Samsung Galaxy Note 9 (Midnight Black, 128 GB)","67,900",6
"Samsung Galaxy S9 Plus (Burgundy Red, 128 GB)","68,900",6
"Samsung Galaxy Note 8 (Orchid Grey, 64 GB)","70,000",6
"Samsung Galaxy Note 9 (Alpine White, 128 GB)","71,599",6
